"gamma","beta","rho","lp"
0.210462399095582,0.235226724530517,0.00788935095457153,-7740.60223803391
0.20543267966795,0.226962355493924,0.00760157020558255,-7739.53093117502
0.224558060207554,0.244971899573401,0.00595034531826911,-7739.42131827304
0.215177650714117,0.228250749457272,0.00557193974914526,-7741.91175914156
0.219877042888955,0.244189380029735,0.00639156692311829,-7738.3304378204
0.202292710655996,0.223491205668905,0.00749613901784387,-7739.97394823617
0.206751454626354,0.232001468715528,0.00715011568000715,-7738.79306434869
0.210862740525834,0.232807128930253,0.00737392189351352,-7738.90100418763
0.21646909783149,0.240848729140481,0.00659612260930991,-7738.03735708429
0.212054538925185,0.229255549721724,0.00739542600153448,-7741.44170174674
0.224739178185349,0.250586770135364,0.0059295806788001,-7739.76831712246
0.220503564069472,0.249762124218098,0.00676694426119412,-7740.20704948523
0.205930262960131,0.230145386833735,0.00721178415121276,-7738.84130738558
0.20670549105512,0.228921817263064,0.00741738382284246,-7738.94918077073
0.220338416125842,0.239113187829567,0.00571451906533027,-7739.80918089691
0.222844310687735,0.250414596953063,0.00631390114896672,-7739.48552551496
0.217881445198656,0.250253731624551,0.00691238703408235,-7742.0244723998
0.210306875320042,0.232524033896426,0.00726853280485407,-7738.56527179596
0.215404825205766,0.231999153321067,0.00609949764621691,-7739.63776891824
0.221856945077664,0.240969259264436,0.0057682762652936,-7739.62799797853
0.208553460012827,0.236627061398374,0.00717183410869829,-7739.2370337751
0.218932398207599,0.239047911815192,0.00686340780089768,-7739.40348355759
0.219591676838264,0.242238812179079,0.00656489402977268,-7738.33188601337
0.214506022721176,0.239580260708393,0.00640952487213136,-7738.45255888535
0.203105219936434,0.224083909139958,0.00753511967380432,-7739.87368825952
0.225650576515649,0.249091220038006,0.00551229509346775,-7740.96688259774
0.209137839225508,0.228369564547819,0.00648473122304216,-7739.20928781694
0.208469040837508,0.234471640636121,0.00667507132894308,-7739.21950906927
0.21299348193976,0.239546538680541,0.00696548974400627,-7738.42168817524
0.222729210516667,0.247729377538892,0.00669958490382089,-7739.38652670328
0.215746272871565,0.232365374445298,0.00544982716157668,-7741.59632456499
0.209279881717639,0.225763824973467,0.00619037534763325,-7740.38112423443
0.227030848423646,0.244088049179121,0.00579129428736294,-7741.07045727818
0.217850042310031,0.234773632158216,0.0058019328142758,-7739.93937549623
0.226067220294054,0.252408803085952,0.00626077369717175,-7739.88239512616
0.221516809626457,0.240900321423624,0.00583441361303259,-7739.41553745567
0.215627877252195,0.238359896010646,0.0072061823338004,-7739.00090518961
0.227823657824067,0.243217923360182,0.0062743736778311,-7743.83062178609
0.223427743288403,0.250226104820169,0.00612185052028619,-7739.4816741485
0.205557471109158,0.225952205393423,0.00693757287603629,-7739.2946487843
0.228608343070511,0.249235175712088,0.00679136374988484,-7743.2936536832
0.201676289662884,0.219796264759878,0.00754794876845326,-7741.24438812804
0.20520795297652,0.227172156447214,0.0071942666444046,-7739.04591271641
0.22921493059416,0.255180557878683,0.00645193583733298,-7741.45626990317
0.21268701827776,0.23016062134617,0.00626930412880466,-7739.3425250227
0.218189487909014,0.234867572283391,0.00564010846579464,-7740.42409781996
0.22182158568407,0.237480670733947,0.0059085706930368,-7740.61302183265
0.210902757971505,0.233082143346419,0.00690721338408554,-7738.14272123962
0.215611377782409,0.240943462018177,0.00615532094778264,-7739.14568140106
0.217911346039963,0.245058239938898,0.00631071309766174,-7738.94086740252
0.21000992274079,0.227553087516003,0.00661038390163765,-7739.38987074537
0.20849273812755,0.237642210600642,0.00734595032165872,-7739.87714714002
0.206137364793194,0.216684084134423,0.00688862009846415,-7746.26775519167
0.209196875979931,0.234051160617707,0.00643864761788265,-7739.54059619513
0.222422919542352,0.24570062563923,0.00667826168344554,-7739.19492773219
0.219512063446529,0.236813244120661,0.00630672082418326,-7739.62295312435
0.220624982216594,0.245918966883064,0.00694216959601818,-7739.4787312135
0.21533061063978,0.236970130038302,0.00683398451547484,-7738.21724270766
0.223248365873127,0.246644620475215,0.00631762253891664,-7738.8316361544
0.216551287927226,0.23641443571765,0.00609236678541525,-7738.8196118157
