"gamma","beta","rho","lp"
0.165391090701484,0.173323119667691,0.000865108394051695,-7052.21907158385
0.178416349758373,0.192029108844693,0.00127858777874583,-7048.75100176077
0.167270387954268,0.182520388677287,0.00157499699832095,-7048.46841563383
0.161246154988819,0.17640712055643,0.00176025677405788,-7050.02979350372
0.169749860477205,0.184575604747779,0.00138934580487707,-7047.77452720053
0.173435705213835,0.185044024235292,0.00154414132742965,-7050.98532510553
0.174091426552828,0.187248609778925,0.00133187828838529,-7047.72589738384
0.166308979436273,0.179672977991637,0.00132675283262597,-7047.76847713911
0.1776316445902,0.191157367345607,0.001109797014456,-7049.96853663073
0.160307546026912,0.175644383989004,0.00165169807764977,-7049.23744891206
0.163500987015017,0.173697770214466,0.00131773765458262,-7048.85071252955
0.172691631150197,0.182338614941762,0.00119048428542487,-7049.28428484202
0.172134002329075,0.184047217535529,0.00125355569266327,-7047.66871446694
0.160962738885411,0.171197633034807,0.00124084647323319,-7049.62542862076
0.179962275066128,0.1914181909452,0.00133560227643304,-7050.81427842386
0.171168959343095,0.188150716391845,0.00154209464723854,-7050.49753274407
0.167123939555968,0.180319688632946,0.00159156588032357,-7048.36802755692
0.17836678547934,0.190880060735122,0.00120075047162852,-7048.76412132905
0.173912137332643,0.188449806897957,0.00136240785130982,-7048.02302699598
0.168765345608042,0.181147899900228,0.00134821966283111,-7047.30666822965
0.160679654302808,0.174555721387065,0.00158855104583794,-7048.37146789122
0.168158849502925,0.183682120164546,0.00146661395839557,-7048.17015651335
0.16826049887188,0.181064225876272,0.00137226495295894,-7047.24941250134
0.161501834920425,0.169902983828839,0.00130593507920062,-7051.7646349584
0.162285099967294,0.174557524628952,0.00157381862331096,-7048.42013168617
0.171648884336205,0.181923956842405,0.00120475394599537,-7048.50205469528
0.169400424348759,0.180132601143826,0.00126746915519497,-7048.03886623219
0.162638016616415,0.17449018958665,0.00129396468512644,-7048.57590840295
0.16352110241308,0.176410107767515,0.00136709208376402,-7047.93891180642
0.173272972086115,0.187995811018656,0.00146162336783606,-7048.41592159167
0.165835636208731,0.180314290749563,0.00127441682113586,-7049.31783337117
0.162914637933311,0.172610737969925,0.001271875751209,-7049.38842944285
0.167898280797151,0.176335500609659,0.00118303492595151,-7050.61971523597
0.161624274555152,0.172585066626363,0.0013517391430594,-7048.68871774309
0.170643587073705,0.187007169100671,0.00148372890890424,-7049.17572510319
0.171093841678789,0.185141618471714,0.00129347067616015,-7047.83843054071
0.161835883440255,0.173469342175978,0.00158332022239082,-7049.02265799675
0.167063419716295,0.177722204316615,0.00140778647390413,-7048.63119011571
0.174714401295852,0.188076711585805,0.00110114985807052,-7050.00696009138
0.161062878098994,0.17150343696375,0.00137301745240127,-7049.16154301909
0.165559747062119,0.177964534941239,0.0016528175040394,-7049.40598005861
0.168965819128737,0.181215891848652,0.00129446797875403,-7047.4440337119
0.166498043110624,0.179808926979695,0.00153699571291143,-7047.72570362371
0.163365786144733,0.173991660783781,0.0013785967112682,-7048.59908650496
0.169919847471967,0.179839969011255,0.00132894361781912,-7049.35052240813
0.178668401965085,0.190146361308488,0.00108755010196901,-7049.51605280197
0.174364561800751,0.185207118876671,0.00106681089211099,-7049.16576552689
0.166548998641042,0.179108077180738,0.00143879783045952,-7047.3930790363
0.169449410433674,0.18279957116201,0.0014455182627058,-7047.40234758277
0.172569503456909,0.188998283907791,0.00144068358690609,-7049.36868303451
0.159560258752598,0.172575623568949,0.00160087574733182,-7048.67502826766
0.161076993886133,0.174174634821873,0.00155958207423025,-7048.20008558465
0.164199368392163,0.179250957046624,0.00178426933802881,-7050.70021776713
0.170554593794887,0.185392272804787,0.0013427596962847,-7047.9748633752
