"gamma","beta","rho","lp"
0.188579597968802,0.217934632578917,0.00502033285349018,-6700.2156861061
0.164252869053605,0.203345099215007,0.00568412522353032,-6699.32248643594
0.190536593229932,0.228398471229904,0.00474802077877895,-6697.62569936786
0.177496456584683,0.212520362551432,0.00551826688002774,-6696.77860488063
0.180792023776032,0.216207369357741,0.00583630650759434,-6697.55572821392
0.176438599797457,0.212362121795932,0.00521924803521528,-6696.97045783758
0.169590525273499,0.20535079512493,0.00628631942331208,-6698.00544583428
0.179294348762476,0.217873766205399,0.00553376502333422,-6696.30210686256
0.164537419201325,0.197344669617691,0.0058083443844939,-6700.1366488776
0.181950133422691,0.221780672710204,0.00532059087489821,-6696.34212037196
0.167743064048499,0.206124403031173,0.00558933064771381,-6698.1083228228
0.192010823189698,0.228337752363067,0.00480157797540211,-6698.04851796909
0.169763742278328,0.200605886141594,0.00518668426727307,-6700.31965139385
0.17838951758774,0.226915613451303,0.00460045797903058,-6700.63747452109
0.179532435193098,0.22009146419276,0.00546950327583969,-6696.36855123693
0.170676025075725,0.207471620368717,0.00493732516313268,-6699.93892587032
0.16466201273534,0.199146478514936,0.00639657948878923,-6699.3617305322
0.174143715594927,0.21604946914839,0.00499230420154808,-6698.08199531183
0.184134231595262,0.22349171150896,0.0052576603888491,-6696.51179061561
0.176081225387524,0.216704606055454,0.00548282341573021,-6696.40022990212
0.186423198917322,0.224867344208852,0.00540109423627148,-6697.20818222757
0.186201454909467,0.23281120855928,0.00467995551345867,-6698.95277388708
0.187145907223077,0.227296235931453,0.00515427394750827,-6696.99017564835
0.184701319368557,0.226181884813822,0.00506077453584145,-6696.74808148967
0.185079124972286,0.221197199135701,0.00504176445418824,-6696.8651496857
0.181437797958391,0.225223908810958,0.00482268188513142,-6697.6127387426
0.172218097004371,0.217944345495573,0.00495253768600103,-6699.58210722518
0.172845273233714,0.209295304961134,0.00595556600493066,-6697.03686205128
0.173146547005461,0.209636331858855,0.00593081976098911,-6696.97794505911
0.175473067017063,0.209481846416856,0.00548543284753665,-6697.21476962895
0.174939061318124,0.211925415099018,0.00569592710580231,-6696.56574489782
0.169326158645559,0.206107050758677,0.00580946137253586,-6697.45230500716
0.183422557332505,0.219246700669974,0.00528626252234772,-6696.74798556634
0.169543044523763,0.208727963414392,0.00624999085598852,-6697.66560541537
0.174772949547504,0.212616955359615,0.00596298742824105,-6696.87027311639
0.180444146232177,0.215960421334825,0.00541812181156091,-6696.65296901111
0.176414793328443,0.211156708402976,0.00551815117223682,-6696.90370734777
0.179379827583872,0.219216101796881,0.0054587458118573,-6696.27589282897
0.173931567388391,0.210523843043577,0.00523286592858971,-6697.3484421466
0.171501073748121,0.203370028721423,0.0060325883717826,-6698.80224884734
0.181127838400871,0.221142582140444,0.00524244538954086,-6696.29510126864
0.185739863408964,0.223436091096606,0.00506428100516036,-6696.70286714857
0.186199364981434,0.222958116937453,0.0049170964160855,-6696.98615982725
0.171224256596616,0.208061119073457,0.00649719095834118,-6698.46102221864
0.180179627519957,0.21428333596371,0.00586822587912638,-6697.92852342823
0.18399353750052,0.218445343396889,0.00525464472614773,-6697.14821915377
0.178736499720642,0.219183549112434,0.00549726755476086,-6696.34372242472
0.189384108877883,0.229534227464805,0.00509115780398262,-6697.43464672276
0.186692875384101,0.228930296830082,0.00496467773799947,-6697.16285282934
0.175179843527212,0.209345614570778,0.00610526206354153,-6697.9784694938
0.169096710688746,0.206881101170825,0.00570064024914467,-6697.49020789908
0.173854776388058,0.208574131784697,0.00563171827901106,-6697.13601246648
0.172819287406304,0.210790803771818,0.00582229483362219,-6696.71706909657
0.177712750673753,0.20073071383445,0.00554754975446158,-6705.81598639375
0.189398718528384,0.221611934818296,0.00473908798991351,-6698.79979236885
0.186598331547228,0.220375591802352,0.0051168470898501,-6697.66326594061
0.168918083290044,0.205423360358458,0.00592291859327231,-6697.55941531704
0.174015481108547,0.210933752825554,0.00614613054108561,-6697.39549213375
0.180356479089177,0.210613067468656,0.00462558845007237,-6699.84982747223
0.169556159117652,0.206480334623322,0.00630869324516286,-6697.86426620237
